name,value,unit,category,context,vartype,source,min_val,max_val,enumvals,boot_val,reset_val,description,is_predefined_tunable,custom_category,is_runtime_modifiable,eligible_for_autotuning,autotuning_exclusion_reason_code,autotuning_exclusion_reason_detail,tuning_min,tuning_max,scale,impact_tier,tuning_priority,tuning_notes,hardware_relative,resource_type,requires_restart,has_tuning_metadata
enable_sort,on,,Query Tuning / Planner Method Configuration,user,bool,default,,,,on,on,Enables the planner's use of explicit sort steps.,False,other,True,True,,,,,linear,extensive,5.0,,False,,False,False
enable_tidscan,on,,Query Tuning / Planner Method Configuration,user,bool,default,,,,on,on,Enables the planner's use of TID scan plans.,False,other,True,True,,,,,linear,extensive,5.0,,False,,False,False
escape_string_warning,on,,Version and Platform Compatibility / Previous PostgreSQL Versions,user,bool,default,,,,on,on,Warn about backslash escapes in ordinary string literals.,False,other,True,True,,,,,linear,extensive,5.0,,False,,False,False
event_triggers,on,,Client Connection Defaults / Statement Behavior,superuser,bool,default,,,,on,on,Enables event triggers.,False,other,True,True,,,,,linear,extensive,5.0,,False,,False,False
file_copy_method,copy,,Resource Usage / Disk,user,enum,default,,,"['copy', 'clone']",copy,copy,Selects the file copy method.,False,other,True,True,,,,,linear,extensive,5.0,,False,,False,False
file_extend_method,posix_fallocate,,Resource Usage / Disk,sighup,enum,default,,,"['posix_fallocate', 'write_zeros']",posix_fallocate,posix_fallocate,Selects the method used for extending data files.,False,other,True,True,,,,,linear,extensive,5.0,,False,,False,False
fsync,on,,Write-Ahead Log / Settings,sighup,bool,default,,,,on,on,Forces synchronization of updates to disk.,True,wal,True,True,,,,,linear,extensive,5.0,,False,,False,False
full_page_writes,on,,Write-Ahead Log / Settings,sighup,bool,default,,,,on,on,Writes full pages to WAL when first modified after a checkpoint.,False,other,True,True,,,,,linear,extensive,5.0,,False,,False,False
geqo,on,,Query Tuning / Genetic Query Optimizer,user,bool,default,,,,on,on,Enables genetic query optimization.,False,other,True,True,,,,,linear,extensive,5.0,,False,,False,False
geqo_effort,5,,Query Tuning / Genetic Query Optimizer,user,integer,default,1,10,,5,5,GEQO: effort is used to set the default for other GEQO parameters.,False,other,True,True,,,1.0,10.0,linear,extensive,5.0,GEQO effort level.,False,,False,True
geqo_seed,0,,Query Tuning / Genetic Query Optimizer,user,real,default,0,1,,0,0,GEQO: seed for random path selection.,False,other,True,True,,,0.0,1.0,linear,extensive,5.0,GEQO random seed.,False,,False,True
geqo_selection_bias,2,,Query Tuning / Genetic Query Optimizer,user,real,default,1.5,2,,2,2,GEQO: selective pressure within the population.,False,other,True,True,,,1.5,2.0,linear,extensive,5.0,GEQO selection bias.,False,,False,True
gss_accept_delegation,off,,Connections and Authentication / Authentication,sighup,bool,default,,,,off,off,Sets whether GSSAPI delegation should be accepted from the client.,False,other,True,True,,,,,linear,extensive,5.0,,False,,False,False
hot_standby,on,,Replication / Standby Servers,postmaster,bool,default,,,,on,on,Allows connections and queries during recovery.,False,other,False,True,,,,,linear,extensive,5.0,,False,,True,False
hot_standby_feedback,off,,Replication / Standby Servers,sighup,bool,default,,,,off,off,Allows feedback from a hot standby to the primary that will avoid query conflicts.,False,other,True,True,,,,,linear,extensive,5.0,,False,,False,False
huge_pages,try,,Resource Usage / Memory,postmaster,enum,default,,,"['off', 'on', 'try']",try,try,Use of huge pages on Linux or Windows.,False,other,False,True,,,,,linear,extensive,5.0,,False,,True,False
icu_validation_level,warning,,Client Connection Defaults / Locale and Formatting,user,enum,default,,,"['disabled', 'debug5', 'debug4', 'debug3', 'debug2', 'debug1', 'log', 'notice', 'warning', 'error']",warning,warning,Log level for reporting invalid ICU locale strings.,False,other,True,True,,,,,linear,extensive,5.0,,False,,False,False
io_combine_limit,16,8kB,Resource Usage / I/O,user,integer,default,1,128,,16,16,Limit on the size of data reads and writes.,False,other,True,True,,,1.0,128.0,linear,extensive,5.0,I/O combine limit.,False,,False,True
io_max_combine_limit,16,8kB,Resource Usage / I/O,postmaster,integer,default,1,128,,16,16,Server-wide limit that clamps io_combine_limit.,False,other,False,True,,,1.0,128.0,linear,extensive,5.0,Max I/O combine limit.,False,,True,True
io_max_concurrency,64,,Resource Usage / I/O,postmaster,integer,default,-1,1024,,-1,64,Max number of IOs that one process can execute simultaneously.,False,other,False,True,,,-1.0,256.0,linear,extensive,5.0,Max I/O concurrency.,False,,True,True
krb_caseins_users,off,,Connections and Authentication / Authentication,sighup,bool,default,,,,off,off,Sets whether Kerberos and GSSAPI user names should be treated as case-insensitive.,False,other,True,True,,,,,linear,extensive,5.0,,False,,False,False
lo_compat_privileges,off,,Version and Platform Compatibility / Previous PostgreSQL Versions,superuser,bool,default,,,,off,off,Enables backward compatibility mode for privilege checks on large objects.,False,other,True,True,,,,,linear,extensive,5.0,,False,,False,False
log_checkpoints,on,,Reporting and Logging / What to Log,sighup,bool,default,,,,on,on,Logs each checkpoint.,False,other,True,True,,,,,linear,extensive,5.0,,False,,False,False
log_disconnections,off,,Reporting and Logging / What to Log,superuser-backend,bool,default,,,,off,off,"Logs end of a session, including duration.",False,other,True,True,,,,,linear,extensive,5.0,,False,,False,False
log_duration,off,,Reporting and Logging / What to Log,superuser,bool,default,,,,off,off,Logs the duration of each completed SQL statement.,False,other,True,True,,,,,linear,extensive,5.0,,False,,False,False
log_error_verbosity,default,,Reporting and Logging / What to Log,superuser,enum,default,,,"['terse', 'default', 'verbose']",default,default,Sets the verbosity of logged messages.,False,other,True,True,,,,,linear,extensive,5.0,,False,,False,False
log_hostname,off,,Reporting and Logging / What to Log,sighup,bool,default,,,,off,off,Logs the host name in the connection logs.,False,other,True,True,,,,,linear,extensive,5.0,,False,,False,False
log_lock_failures,off,,Reporting and Logging / What to Log,superuser,bool,default,,,,off,off,Logs lock failures.,False,other,True,True,,,,,linear,extensive,5.0,,False,,False,False
log_lock_waits,off,,Reporting and Logging / What to Log,superuser,bool,default,,,,off,off,Logs long lock waits.,False,other,True,True,,,,,linear,extensive,5.0,,False,,False,False
log_min_error_statement,error,,Reporting and Logging / When to Log,superuser,enum,default,,,"['debug5', 'debug4', 'debug3', 'debug2', 'debug1', 'info', 'notice', 'warning', 'error', 'log', 'fatal', 'panic']",error,error,Causes all statements generating error at or above this level to be logged.,False,other,True,True,,,,,linear,extensive,5.0,,False,,False,False
log_recovery_conflict_waits,off,,Reporting and Logging / What to Log,sighup,bool,default,,,,off,off,Logs standby recovery conflict waits.,False,other,True,True,,,,,linear,extensive,5.0,,False,,False,False
log_replication_commands,off,,Reporting and Logging / What to Log,superuser,bool,default,,,,off,off,Logs each replication command.,False,other,True,True,,,,,linear,extensive,5.0,,False,,False,False
log_statement,none,,Reporting and Logging / What to Log,superuser,enum,default,,,"['none', 'ddl', 'mod', 'all']",none,none,Sets the type of statements logged.,False,other,True,True,,,,,linear,extensive,5.0,,False,,False,False
