name,value,unit,category,context,vartype,source,min_val,max_val,enumvals,boot_val,reset_val,description,is_predefined_tunable,custom_category,is_runtime_modifiable,eligible_for_autotuning,autotuning_exclusion_reason_code,autotuning_exclusion_reason_detail,tuning_min,tuning_max,scale,impact_tier,tuning_priority,tuning_notes,hardware_relative,resource_type,requires_restart,has_tuning_metadata
effective_cache_size,524288,8kB,Query Tuning / Planner Cost Constants,user,integer,default,1,2147483647,,524288,524288,Sets the planner's assumption about the total size of the data caches.,True,memory,True,True,,,65536.0,1048576.0,log,minimal,1.0,"Planner's OS cache estimate. Doesn't allocate memory, only affects plans.",True,ram,False,True
max_parallel_workers_per_gather,2,,Resource Usage / Worker Processes,user,integer,default,0,1024,,2,2,Sets the maximum number of parallel processes per executor node.,True,connections,True,True,,,0.0,4.0,linear,minimal,1.0,Parallelism for analytical queries. Limited by CPU cores.,True,cpu,False,True
random_page_cost,4,,Query Tuning / Planner Cost Constants,user,real,default,0,1.79769e+308,,4,4,Sets the planner's estimate of the cost of a nonsequentially fetched disk page.,True,query_planner,True,True,,,0.1,4.0,linear,minimal,1.0,"Critical for index vs seqscan decisions. SSD: 1.0-1.5, HDD: 3.0-4.0",True,disk_type,False,True
shared_buffers,16384,8kB,Resource Usage / Memory,postmaster,integer,configuration file,16,1073741823,,16384,16384,Sets the number of shared memory buffers used by the server.,True,memory,False,True,,,16384.0,131072.0,log,minimal,1.0,Most impactful knob. Log scale because doubling matters more than addition.,True,ram,True,True
work_mem,4096,kB,Resource Usage / Memory,user,integer,default,64,2147483647,,4096,4096,Sets the maximum memory to be used for query workspaces.,True,memory,True,True,,,4096.0,65536.0,log,minimal,1.0,Per-operation memory. Total can be work_mem * connections * operations_per_query,True,ram,False,True
checkpoint_completion_target,0.9,,Write-Ahead Log / Checkpoints,sighup,real,default,0,1,,0.9,0.9,"Time spent flushing dirty buffers during checkpoint, as fraction of checkpoint interval.",True,checkpoint,True,True,,,0.1,0.9,linear,core,2.0,Spread checkpoint I/O over this fraction of checkpoint_timeout.,False,,False,True
checkpoint_timeout,300,s,Write-Ahead Log / Checkpoints,sighup,integer,default,30,86400,,300,300,Sets the maximum time between automatic WAL checkpoints.,True,checkpoint,True,True,,,30.0,3600.0,log,core,2.0,Max time between automatic checkpoints. Affects recovery time.,False,,False,True
default_statistics_target,100,,Query Tuning / Other Planner Options,user,integer,default,1,10000,,100,100,Sets the default statistics target.,True,query_planner,True,True,,,10.0,10000.0,log,core,2.0,"Statistics sample size for ANALYZE. Higher = better plans, slower ANALYZE.",False,,False,True
effective_io_concurrency,16,,Resource Usage / I/O,user,integer,default,0,1000,,16,16,Number of simultaneous requests that can be handled efficiently by the disk subsystem.,True,query_planner,True,True,,,0.0,200.0,linear,core,2.0,"Expected concurrent I/O. SSD: 100-200, HDD: 1-2",True,disk_type,False,True
maintenance_work_mem,65536,kB,Resource Usage / Memory,user,integer,default,64,2147483647,,65536,65536,Sets the maximum memory to be used for maintenance operations.,True,memory,True,True,,,65536.0,262144.0,log,core,2.0,"For VACUUM, CREATE INDEX. Can be larger than work_mem.",True,ram,False,True
wal_buffers,512,8kB,Write-Ahead Log / Settings,postmaster,integer,default,-1,262143,,-1,512,Sets the number of disk-page buffers in shared memory for WAL.,True,memory,False,True,,,64.0,2048.0,log,core,2.0,WAL buffer size. Default -1 means auto (1/32 of shared_buffers).,False,,True,True
autovacuum,on,,Vacuuming / Automatic Vacuuming,sighup,bool,default,,,,on,on,Starts the autovacuum subprocess.,True,autovacuum,True,True,,,,,categorical,standard,3.0,Enable autovacuum. Usually keep on.,False,,False,True
cpu_index_tuple_cost,0.005,,Query Tuning / Planner Cost Constants,user,real,default,0,1.79769e+308,,0.005,0.005,Sets the planner's estimate of the cost of processing each index entry during an index scan.,True,query_planner,True,True,,,0.0001,0.01,log,standard,3.0,Cost of processing each index entry.,False,,False,True
cpu_operator_cost,0.0025,,Query Tuning / Planner Cost Constants,user,real,default,0,1.79769e+308,,0.0025,0.0025,Sets the planner's estimate of the cost of processing each operator or function call.,True,query_planner,True,True,,,0.0001,0.01,log,standard,3.0,Cost of executing operators/functions.,False,,False,True
cpu_tuple_cost,0.01,,Query Tuning / Planner Cost Constants,user,real,default,0,1.79769e+308,,0.01,0.01,Sets the planner's estimate of the cost of processing each tuple (row).,True,query_planner,True,True,,,0.001,0.1,log,standard,3.0,Cost of processing each row.,False,,False,True
hash_mem_multiplier,2,,Resource Usage / Memory,user,real,default,1,1000,,2,2,"Multiple of ""work_mem"" to use for hash tables.",False,other,True,True,,,1.0,8.0,linear,standard,3.0,Hash operation memory multiplier; bounded to avoid aggressive memory oversubscription.,False,,False,True
io_workers,3,,Resource Usage / I/O,sighup,integer,default,1,32,,3,3,"Number of IO worker processes, for io_method=worker.",False,other,True,True,,,1.0,16.0,linear,standard,3.0,I/O worker count (PG17+); bounded to practical CPU-core-aligned range.,True,cpu,False,True
maintenance_io_concurrency,16,,Resource Usage / I/O,user,integer,default,0,1000,,16,16,"A variant of ""effective_io_concurrency"" that is used for maintenance work.",False,other,True,True,,,0.0,200.0,linear,standard,3.0,"Maintenance I/O concurrency for VACUUM/CREATE INDEX, similar semantics to effective_io_concurrency.",True,disk_type,False,True
max_connections,100,,Connections and Authentication / Connection Settings,postmaster,integer,configuration file,1,262143,,100,100,Sets the maximum number of concurrent connections.,True,connections,False,True,,,50.0,200.0,linear,core,3.0,Max concurrent connections. Requires restart. High values increase memory.,False,,True,True
max_parallel_maintenance_workers,2,,Resource Usage / Worker Processes,user,integer,default,0,1024,,2,2,Sets the maximum number of parallel processes per maintenance operation.,True,parallelism,True,True,,,0.0,4.0,linear,standard,3.0,"Max parallel workers for maintenance (CREATE INDEX, VACUUM).",True,cpu,False,True
max_parallel_workers,8,,Resource Usage / Worker Processes,user,integer,default,0,1024,,8,8,Sets the maximum number of parallel workers that can be active at one time.,True,connections,True,True,,,0.0,16.0,linear,standard,3.0,Max parallel workers system-wide. Must be <= max_worker_processes.,True,cpu,False,True
max_wal_size,1024,MB,Write-Ahead Log / Checkpoints,sighup,integer,configuration file,2,2147483647,,1024,1024,Sets the WAL size that triggers a checkpoint.,True,checkpoint,True,True,,,80.0,10240.0,log,standard,3.0,Max WAL size before forced checkpoint.,False,,False,True
max_worker_processes,8,,Resource Usage / Worker Processes,postmaster,integer,default,0,262143,,8,8,Maximum number of concurrent worker processes.,True,connections,False,True,,,4.0,16.0,linear,core,3.0,Max background workers. Requires restart. Must be >= max_parallel_workers.,True,cpu,True,True
min_wal_size,80,MB,Write-Ahead Log / Checkpoints,sighup,integer,configuration file,2,2147483647,,80,80,Sets the minimum size to shrink the WAL to.,True,checkpoint,True,True,,,80.0,2048.0,log,standard,3.0,Minimum WAL size to keep.,False,,False,True
seq_page_cost,1,,Query Tuning / Planner Cost Constants,user,real,default,0,1.79769e+308,,1,1,Sets the planner's estimate of the cost of a sequentially fetched disk page.,True,query_planner,True,True,,,0.1,2.0,linear,standard,3.0,Cost of sequential page fetch. Usually kept at 1.0 as baseline.,True,disk_type,False,True
autovacuum_analyze_scale_factor,0.1,,Vacuuming / Automatic Vacuuming,sighup,real,default,0,100,,0.1,0.1,"Number of tuple inserts, updates, or deletes prior to analyze as a fraction of reltuples.",True,autovacuum,True,True,,,0.01,0.5,linear,extensive,4.0,fraction of table modified for analyze.,False,,False,True
autovacuum_max_workers,3,,Vacuuming / Automatic Vacuuming,sighup,integer,default,1,262143,,3,3,Sets the maximum number of simultaneously running autovacuum worker processes.,True,autovacuum,True,True,,,1.0,8.0,linear,standard,4.0,Max autovacuum worker processes.,False,,False,True
autovacuum_naptime,60,s,Vacuuming / Automatic Vacuuming,sighup,integer,default,1,2147483,,60,60,Time to sleep between autovacuum runs.,True,autovacuum,True,True,,,1.0,600.0,log,standard,4.0,Time between autovacuum runs.,False,,False,True
autovacuum_vacuum_cost_delay,2,ms,Vacuuming / Automatic Vacuuming,sighup,real,default,-1,100,,2,2,"Vacuum cost delay in milliseconds, for autovacuum.",True,autovacuum,True,True,,,-1.0,50.0,linear,extensive,4.0,ms delay after cost limit is hit.,False,,False,True
autovacuum_vacuum_cost_limit,-1,,Vacuuming / Automatic Vacuuming,sighup,integer,default,-1,10000,,-1,-1,"Vacuum cost amount available before napping, for autovacuum.",True,autovacuum,True,True,,,-1.0,2000.0,linear,extensive,4.0,per-worker autovacuum cost limit.,False,,False,True
autovacuum_vacuum_insert_scale_factor,0.2,,Vacuuming / Automatic Vacuuming,sighup,real,default,0,100,,0.2,0.2,Number of tuple inserts prior to vacuum as a fraction of reltuples.,False,other,True,True,,,0.01,0.5,linear,extensive,4.0,fraction of table inserted for vacuum.,False,,False,True
autovacuum_vacuum_scale_factor,0.2,,Vacuuming / Automatic Vacuuming,sighup,real,default,0,100,,0.2,0.2,Number of tuple updates or deletes prior to vacuum as a fraction of reltuples.,True,autovacuum,True,True,,,0.01,0.5,linear,extensive,4.0,fraction of table modified for vacuum.,False,,False,True
autovacuum_worker_slots,16,,Vacuuming / Automatic Vacuuming,postmaster,integer,configuration file,1,262143,,16,16,Sets the number of backend slots to allocate for autovacuum workers.,False,other,False,True,,,1.0,16.0,linear,standard,4.0,Autovacuum worker slot capacity; aligned with practical worker process limits.,False,,True,True
bgwriter_delay,200,ms,Resource Usage / Background Writer,sighup,integer,default,10,10000,,200,200,Background writer sleep time between rounds.,False,other,True,True,,,10.0,2000.0,log,standard,4.0,ms between bgwriter rounds.,False,,False,True
bgwriter_lru_maxpages,100,,Resource Usage / Background Writer,sighup,integer,default,0,1073741823,,100,100,Background writer maximum number of LRU pages to flush per round.,False,other,True,True,,,0.0,1000.0,linear,standard,4.0,pages per bgwriter round.,False,,False,True
commit_delay,0,,Write-Ahead Log / Settings,superuser,integer,default,0,100000,,0,0,Sets the delay in microseconds between transaction commit and flushing WAL to disk.,False,other,True,True,,,0.0,10000.0,linear,extensive,4.0,microseconds to wait for group commit.,False,,False,True
commit_siblings,5,,Write-Ahead Log / Settings,user,integer,default,0,1000,,5,5,"Sets the minimum number of concurrent open transactions required before performing ""commit_delay"".",False,other,True,True,,,0.0,20.0,linear,extensive,4.0,concurrent active transactions to trigger commit_delay.,False,,False,True
enable_bitmapscan,on,,Query Tuning / Planner Method Configuration,user,bool,default,,,,on,on,Enables the planner's use of bitmap-scan plans.,True,query_planner,True,True,,,,,categorical,standard,4.0,Enable bitmap scans.,False,,False,True
enable_hashjoin,on,,Query Tuning / Planner Method Configuration,user,bool,default,,,,on,on,Enables the planner's use of hash join plans.,True,query_planner,True,True,,,,,categorical,standard,4.0,Enable hash joins.,False,,False,True
enable_indexscan,on,,Query Tuning / Planner Method Configuration,user,bool,default,,,,on,on,Enables the planner's use of index-scan plans.,True,query_planner,True,True,,,,,categorical,standard,4.0,Enable index scans. Usually leave on.,False,,False,True
enable_mergejoin,on,,Query Tuning / Planner Method Configuration,user,bool,default,,,,on,on,Enables the planner's use of merge join plans.,True,query_planner,True,True,,,,,categorical,standard,4.0,Enable merge joins.,False,,False,True
enable_nestloop,on,,Query Tuning / Planner Method Configuration,user,bool,default,,,,on,on,Enables the planner's use of nested-loop join plans.,True,query_planner,True,True,,,,,categorical,standard,4.0,Enable nested loop joins.,False,,False,True
enable_seqscan,on,,Query Tuning / Planner Method Configuration,user,bool,default,,,,on,on,Enables the planner's use of sequential-scan plans.,True,query_planner,True,True,,,,,categorical,standard,4.0,Enable sequential scans. Usually leave on.,False,,False,True
min_parallel_index_scan_size,64,8kB,Query Tuning / Planner Cost Constants,user,integer,default,0,715827882,,64,64,Sets the minimum amount of index data for a parallel scan.,True,parallelism,True,True,,,0.0,16384.0,log,standard,4.0,pages required to trigger parallel index scan.,False,,False,True
min_parallel_table_scan_size,1024,8kB,Query Tuning / Planner Cost Constants,user,integer,default,0,715827882,,1024,1024,Sets the minimum amount of table data for a parallel scan.,True,parallelism,True,True,,,0.0,65536.0,log,standard,4.0,pages required to trigger parallel table scan.,False,,False,True
parallel_setup_cost,1000,,Query Tuning / Planner Cost Constants,user,real,default,0,1.79769e+308,,1000,1000,Sets the planner's estimate of the cost of starting up worker processes for parallel query.,True,parallelism,True,True,,,1.0,10000.0,log,standard,4.0,Cost of starting parallel workers.,False,,False,True
parallel_tuple_cost,0.1,,Query Tuning / Planner Cost Constants,user,real,default,0,1.79769e+308,,0.1,0.1,Sets the planner's estimate of the cost of passing each tuple (row) from worker to leader backend.,True,parallelism,True,True,,,0.0001,10.0,log,standard,4.0,Cost of transferring tuples between workers.,False,,False,True
temp_buffers,1024,8kB,Resource Usage / Memory,user,integer,default,100,1073741823,,1024,1024,Sets the maximum number of temporary buffers used by each session.,True,memory,True,True,,,1024.0,4096.0,log,standard,4.0,Temp buffer size per session.,False,,False,True
vacuum_buffer_usage_limit,2048,kB,Resource Usage / Memory,user,integer,default,0,16777216,,2048,2048,"Sets the buffer pool size for VACUUM, ANALYZE, and autovacuum.",False,other,True,True,,,128.0,2048.0,linear,extensive,4.0,buffer usage limit for vacuum (pages).,False,,False,True
vacuum_cost_limit,200,,Vacuuming / Cost-Based Vacuum Delay,user,integer,default,1,10000,,200,200,Vacuum cost amount available before napping.,False,other,True,True,,,1.0,2000.0,linear,standard,4.0,aggregate cost cap for vacuum.,False,,False,True
vacuum_freeze_min_age,50000000,,Vacuuming / Freezing,user,integer,default,0,1000000000,,50000000,50000000,Minimum age at which VACUUM should freeze a table row.,False,other,True,True,,,0.0,100000000.0,log,extensive,4.0,minimum age before freezing tuples.,False,,False,True
vacuum_multixact_freeze_min_age,5000000,,Vacuuming / Freezing,user,integer,default,0,1000000000,,5000000,5000000,Minimum age at which VACUUM should freeze a MultiXactId in a table row.,False,other,True,True,,,0.0,100000000.0,log,extensive,4.0,minimum age before freezing multixacts.,False,,False,True
wal_writer_delay,200,ms,Write-Ahead Log / Settings,sighup,integer,default,1,10000,,200,200,Time between WAL flushes performed in the WAL writer.,True,wal,True,True,,,1.0,5000.0,log,standard,4.0,ms between WAL flushes.,False,,False,True
IntervalStyle,postgres,,Client Connection Defaults / Locale and Formatting,user,enum,default,,,"['postgres', 'postgres_verbose', 'sql_standard', 'iso_8601']",postgres,postgres,Sets the display format for interval values.,False,other,True,True,,,,,linear,extensive,5.0,,False,,False,False
archive_mode,off,,Write-Ahead Log / Archiving,postmaster,enum,default,,,"['always', 'on', 'off']",off,off,"Allows archiving of WAL files using ""archive_command"".",False,other,False,True,,,,,linear,extensive,5.0,,False,,True,False
array_nulls,on,,Version and Platform Compatibility / Previous PostgreSQL Versions,user,bool,default,,,,on,on,Enables input of NULL elements in arrays.,False,other,True,True,,,,,linear,extensive,5.0,,False,,False,False
backend_flush_after,0,8kB,Resource Usage / I/O,user,integer,default,0,256,,0,0,Number of pages after which previously performed writes are flushed to disk.,False,other,True,True,,,0.0,256.0,linear,extensive,5.0,pages written by backend before OS flush.,False,,False,True
backslash_quote,safe_encoding,,Version and Platform Compatibility / Previous PostgreSQL Versions,user,enum,default,,,"['safe_encoding', 'on', 'off']",safe_encoding,safe_encoding,"Sets whether ""\'"" is allowed in string literals.",False,other,True,True,,,,,linear,extensive,5.0,,False,,False,False
