name,value,unit,category,context,vartype,source,min_val,max_val,enumvals,boot_val,reset_val,description,is_predefined_tunable,custom_category,is_runtime_modifiable,eligible_for_autotuning,autotuning_exclusion_reason_code,autotuning_exclusion_reason_detail,tuning_min,tuning_max,scale,impact_tier,tuning_priority,tuning_notes,hardware_relative,resource_type,requires_restart,has_tuning_metadata
effective_cache_size,524288,8kB,Query Tuning / Planner Cost Constants,user,integer,default,1,2147483647,,524288,524288,Sets the planner's assumption about the total size of the data caches.,True,memory,True,True,,,65536.0,1048576.0,log,minimal,1.0,"Planner's OS cache estimate. Doesn't allocate memory, only affects plans.",True,ram,False,True
max_parallel_workers_per_gather,2,,Resource Usage / Worker Processes,user,integer,default,0,1024,,2,2,Sets the maximum number of parallel processes per executor node.,True,connections,True,True,,,0.0,4.0,linear,minimal,1.0,Parallelism for analytical queries. Limited by CPU cores.,True,cpu,False,True
random_page_cost,4,,Query Tuning / Planner Cost Constants,user,real,default,0,1.79769e+308,,4,4,Sets the planner's estimate of the cost of a nonsequentially fetched disk page.,True,query_planner,True,True,,,0.1,4.0,linear,minimal,1.0,"Critical for index vs seqscan decisions. SSD: 1.0-1.5, HDD: 3.0-4.0",True,disk_type,False,True
shared_buffers,16384,8kB,Resource Usage / Memory,postmaster,integer,configuration file,16,1073741823,,16384,16384,Sets the number of shared memory buffers used by the server.,True,memory,False,True,,,16384.0,131072.0,log,minimal,1.0,Most impactful knob. Log scale because doubling matters more than addition.,True,ram,True,True
work_mem,4096,kB,Resource Usage / Memory,user,integer,default,64,2147483647,,4096,4096,Sets the maximum memory to be used for query workspaces.,True,memory,True,True,,,4096.0,65536.0,log,minimal,1.0,Per-operation memory. Total can be work_mem * connections * operations_per_query,True,ram,False,True
